username,text,created_at
wargaindocom,"Namun karena kesibukan masing-masing, pertemuan antara Ketua Umum PDI Perjuangan dan Ketua Umum Partai Gerindra itu baru bisa terlaksana pada Senin (7/4) malam. Adapun pertemuan itu dilaksanakan di kediaman Megawati, Jalan Teuku Umar, Jakarta.
https://t.co/HFlgNJTxLz",2025-04-09T17:25:26.000Z
mbaH_tugaran,@geloraco @prabowo @Yusrilihza_Mhd HUKUM MATI G SETUJU...RAMPAS ASET PARA MALING DAN MEMISKINKAN NYA JG G SETUJU...Apa cerita pengejaran sampai ke alustita apakah it hanya modal kampanye atau OMON OMON bae...Cc @Gerindra,2025-04-09T18:14:46.000Z
slamets0057,@are_inismyname @Gerindra @99propaganda @BANGSAygSUJUD @DedynurPalakka @IrawanRommi @DarekaRendy @kurawa @Kimberley_PS08 @Ndons_Back @MIrvanDarwin1 Arep sambat kali,2025-04-09T18:10:49.000Z
Marco_Alfa20,"@Mdy_Asmara1701 Entah pikun...
entah sudah bodoh....
entah sedang disandera oleh mafia besarğŸ˜‡,, 

Entahlah..... ya kan Wo @prabowo @Gerindra ğŸ¤“",2025-04-09T18:10:06.000Z
Marco_Alfa20,"Entah pikun, entah sudah bodoh, entah memang sedang disandera oleh mafia besarğŸ˜‡,, 

Entahlah ya kan Wo @prabowo @Gerindra ğŸ¤“ https://t.co/vWkM5IgdD3",2025-04-09T18:08:02.000Z
Kelik_Es,@BANGSAygSUJUD @Ajie61LHenry @prabowo @DPR_RI @habiburokhman @Gerindra @KejaksaanRI @99propaganda @are_inismyname @florieliciouss @Ndons_Back @IrawanRommi @Kimberley_PS08 @gtobing2903 @jatmiko99604253 @satriamadang88 @DedynurPalakka Memaknai ? ğŸ¤£ğŸ¤£ğŸ¤£,2025-04-09T18:01:59.000Z
PasTIGAma2024,"@Heraloebss Di Sosmed, Gerindra dan PDIP damai2 aja. Yg bermasalah itu ternakan Mulyono pura2 jadi GerindrağŸ˜€",2025-04-09T18:00:48.000Z
Kelik_Es,@BANGSAygSUJUD @prabowo @DPR_RI @habiburokhman @Gerindra @KejaksaanRI @99propaganda @are_inismyname @florieliciouss @Ndons_Back @IrawanRommi @Kimberley_PS08 @gtobing2903 @jatmiko99604253 @satriamadang88 @DedynurPalakka Kasus pertamina?,2025-04-09T17:59:56.000Z
dpp_swastika,@CinereUnun41935 @DarekaRendy @are_inismyname @Gerindra @setkabgoid @BANGSAygSUJUD @kurawa @zarryhendrik @Ndons_Back @Kimberley_PS08 @DedynurPalakka @IrawanRommi Alhamdulillah yg terpilih orang cerdas...,2025-04-09T17:58:27.000Z
Megatop99,@BANGSAygSUJUD @prabowo @DPR_RI @habiburokhman @Gerindra @KejaksaanRI @99propaganda @are_inismyname @florieliciouss @Ndons_Back @IrawanRommi @Kimberley_PS08 @gtobing2903 @jatmiko99604253 @satriamadang88 @DedynurPalakka OMON OMON doang,2025-04-09T17:54:13.000Z
MPrimbon,"@H4T14K4LN4L42 @prabowo @Gerindra @DPR_RI JUMLAHNYA DIKIT...
ITU BUKAN RAKYAT TAPI KELOMPOK PENDEMO",2025-04-09T17:51:07.000Z
Detw13,"@BANGSAygSUJUD @prabowo @DPR_RI @habiburokhman @Gerindra @KejaksaanRI @99propaganda @are_inismyname @florieliciouss @Ndons_Back @IrawanRommi @Kimberley_PS08 @gtobing2903 @jatmiko99604253 @satriamadang88 @DedynurPalakka Ah, pertamina padam, pagar laut lewat. 
memang cuma omon-omon.",2025-04-09T17:45:04.000Z
zhaLu87,@Gerindra Lah ngapa partai yg ngasih info ... ??? KOCAK,2025-04-09T17:42:04.000Z
tvspartanindo,"Guntur Romli Sebut PDI Tetap di Luar Pemerintahan Prabowo

Jakarta -- Politikus PDIP Guntur Romli mengatakan posisi politik PDIP tidak berubah setelah Presiden RI yang juga Ketua Umum Gerindra Prabowo Subianto bersilaturahmi ke rumah Ketua Umum PDIP Megawati Soekarnoputri https://t.co/3NxNbJtcNK",2025-04-09T17:41:06.000Z
ikianakcantik,"@CommuterLine kok kumat meneh aplikasine min? Ngantuk iki wisan malah durung oleh tiket. Wis mbayar malah dicancel, arep tuku meneh malah panggah timeout terus. Piye ki? Opo kudu tak tag admin gerindra?",2025-04-09T17:35:33.000Z
iwan_ikur,"@Gerindra ğŸ‡²ğŸ‡¨Konoha Macan Tuwir:
Yang diperlukan Gaza adalah Wowo kirim Tentara &amp; Mujahidin ke GazağŸ‡µğŸ‡¸ untuk menghapus penjajahan di muka Bumi sesuai Amanat Pembukaan UUD 1945.
Bukan mindahin warga Gaza ke luar Gaza sebagaimana yang di inginkan kera ASğŸ‡ºğŸ‡¸ &amp; IsrahellğŸ‡®ğŸ‡±
#FreePalestine ğŸ‡µğŸ‡¸â™¥ï¸ğŸ‡µğŸ‡¸ https://t.co/9buw6TbUio",2025-04-09T17:30:47.000Z
